participant_id	semester.x	study_week.x	firmicutes.x	bacteroidetes.x	f_b_ratio.x	semester.y	study_week.y	firmicutes.y	bacteroidetes.y	f_b_ratio.y
U042	Fall2015	week1	14119	18149	0.7779491983029369	Fall2015	week3	13515	16756	0.8065767486273574
U052	Fall2015	week1	4944	13166	0.3755126841865411	Fall2015	week3	5324	16858	0.31581445011270615
U054	Fall2015	week1	11479	20357	0.5638846588397112	Fall2015	week3	12668.5	14542.5	0.8711363245659275
U062	Fall2015	week1	8366	25134.33	0.33285152220091	Fall2015	week3	6116.75	21791.75	0.2806910872233758
U063	Fall2015	week1	16912.67	10266	1.6474449639586985	Fall2015	week3	11256.75	7918.25	1.4216209389701007
U064	Fall2015	week1	10583	10990	0.9629663330300273	Fall2015	week3	15953	8834	1.805863708399366
U066	Fall2015	week1	9209	14273	0.645204231766272	Fall2015	week3	14118	17919	0.7878787878787878
U067	Fall2015	week1	19162.67	16209.67	1.1821752077617864	Fall2015	week3	19948.75	12748.25	1.5648226227129214
U068	Fall2015	week1	6034	20364	0.29630720879984285	Fall2015	week3	14407.5	11264.5	1.2790181543788006
U070	Fall2015	week1	11963	13446	0.8897069760523576	Fall2015	week3	9199	8298	1.1085803808146542
U076	Fall2015	week1	8413	18724.5	0.4493043873000614	Fall2015	week3	8522	14312	0.5954443823365009
U077	Fall2015	week1	10444	15240.5	0.6852793543518914	Fall2015	week3	13009	15588	0.8345522196561458
U082	Fall2015	week1	7966	15753	0.5056814575001587	Fall2015	week3	11146.5	19005	0.5865035516969218
U083	Fall2015	week1	13101	5983	2.1897041617917434	Fall2015	week3	9432.5	9481.5	0.9948320413436692
U086	Fall2015	week1	12426	10099	1.230418853351817	Fall2015	week3	16783	11045.5	1.5194423068217826
U092	Fall2015	week1	7324.5	16630	0.4404389657245941	Fall2015	week3	4484	18685	0.23997859245383998
U093	Fall2015	week1	10438	11839	0.8816623025593378	Fall2015	week3	10556.25	14510.75	0.7274779043123202
U094	Fall2015	week1	12004	7709	1.5571410040212739	Fall2015	week3	14784	8359	1.7686326115564062
U097	Fall2015	week1	7828	13132	0.5961011270179714	Fall2015	week3	5266.5	11983.5	0.43947928401552133
U098	Fall2015	week1	14848	14875	0.9981848739495799	Fall2015	week3	11044	15832.5	0.6975525027633034
U099	Fall2015	week1	5420	16245	0.33364112034472143	Fall2015	week3	12502	20176	0.6196471054718478
U105	Fall2015	week1	11292.5	15805	0.7144890857323631	Fall2015	week3	8070	12150	0.6641975308641975
U107	Fall2015	week1	8956	13919.5	0.6434139157297317	Fall2015	week3	11176	15405	0.7254787406686141
U108	Fall2015	week1	15511	10992	1.4111171761280932	Fall2015	week3	13524	18140.67	0.7455071946074759
U112	Fall2015	week1	14480	15023.5	0.9638233434286285	Fall2015	week3	15263	13187	1.1574277697732616
U113	Fall2015	week1	14268	9281	1.5373343389720935	Fall2015	week3	8474	15432	0.5491187143597719
U114	Fall2015	week1	9932	21219.5	0.468060039114965	Fall2015	week3	14718.5	13877.5	1.0606016933885787
U117	Fall2015	week1	2542	14964	0.16987436514300988	Fall2015	week3	7227	16370	0.4414783139890043
U119	Fall2015	week1	12916	21112	0.6117847669571808	Fall2015	week3	4651.5	9748.5	0.4771503308201262
U121	Winter2016	week1	12011	8936.5	1.34403849381749	Winter2016	week3	16379	21288.25	0.7693915657698496
U122	Winter2016	week1	13905.25	11974.25	1.1612627095642734	Winter2016	week3	12699.5	17471	0.7268902753133765
U124	Winter2016	week1	9582.5	20962	0.4571367235950768	Winter2016	week3	4127.75	14676.75	0.28124414465055275
U125	Winter2016	week1	13842.25	13408.75	1.0323296354992075	Winter2016	week3	7096.75	6348.5	1.1178624872017011
U127	Winter2016	week1	13360	18509.75	0.7217817636650954	Winter2016	week3	16864.33	17504.67	0.9634189047836951
U128	Winter2016	week1	11358.25	20288.25	0.5598437519253755	Winter2016	week3	9292	9530.33	0.974992471404453
U129	Winter2016	week1	16888	22913.67	0.737027285458855	Winter2016	week3	16217	14536.5	1.1156055446634334
U131	Winter2016	week1	14189.25	15742.25	0.9013482824882085	Winter2016	week3	8839.25	10995.25	0.8039153270730542
U132	Winter2016	week1	5393	16231.5	0.3322551828235222	Winter2016	week3	10874	6618.25	1.6430325237033958
U135	Winter2016	week1	10411	7583.67	1.3728181737865703	Winter2016	week3	18132	14359.75	1.2626960775779523
U136	Winter2016	week1	15471.25	19778.25	0.7822355365110665	Winter2016	week3	9304	18644	0.4990345419437889
U137	Winter2016	week1	17903.75	15375	1.1644715447154472	Winter2016	week3	7364	7304.33	1.0081691270794173
U138	Winter2016	week1	11577.75	4246	2.7267428167687235	Winter2016	week3	18027	18437.5	0.977735593220339
U139	Winter2016	week1	8013.67	12498.33	0.641179261549343	Winter2016	week3	8350	21926	0.38082641612697254
U141	Winter2016	week1	18148	18010	1.0076624097723488	Winter2016	week3	18529	14233	1.3018337665987494
U143	Winter2016	week1	4454.67	21786.67	0.20446768597495626	Winter2016	week3	11012.5	14365.25	0.7666069159951967
U145	Winter2016	week1	10981.25	23440.5	0.46847336874213436	Winter2016	week3	4550.25	19074.25	0.2385545958556693
U147	Winter2016	week1	14237	8870.5	1.6049828081844315	Winter2016	week3	8869.5	15115	0.5868011908699967
U149	Winter2016	week1	13308	19766	0.6732773449357482	Winter2016	week3	7637.75	16507.5	0.46268362865364226
U150	Winter2016	week1	8116.25	21340	0.38033036551077787	Winter2016	week3	5483	17054.67	0.32149551999540305
U151	Winter2016	week1	15591.5	23462	0.6645426647344642	Winter2016	week3	13508.67	19958.67	0.676832173686924
U152	Winter2016	week1	18010.33	12789	1.4082672609273597	Winter2016	week3	19548.75	10435	1.8733828461907043
U153	Winter2016	week1	8941	20890	0.4280038295835328	Winter2016	week3	11025.33	14751	0.74742932682529994
U154	Winter2016	week1	2056.67	26090	0.07882981985435032	Winter2016	week3	1089.33	18209.33	0.05982262938834102
U155	Winter2016	week1	4180.25	28238.75	0.14803240228409545	Winter2016	week3	7931.25	20181.5	0.3929960607487055
U157	Winter2016	week1	21130	12740.5	1.658490640084769	Winter2016	week3	11648.33	8121.67	1.4342284283897277
U158	Winter2016	week1	14809.5	20529.5	0.7213765556881561	Winter2016	week3	2933.75	8769.75	0.33453063086176915
U159	Winter2016	week1	11845.5	17664.25	0.6705917318878526	Winter2016	week3	7799.67	15261.33	0.5110740675943709
U160	Winter2016	week1	9885	16057.75	0.6155906026684934	Winter2016	week3	6687	14125.75	0.4733907934091995
U161	Winter2016	week1	10665.33	27232.33	0.3916422135013787	Winter2016	week3	10161	21071.25	0.4822210357714896
U162	Winter2016	week1	9273	10014	0.9260035949670461	Winter2016	week3	13767	20375.67	0.6756587636136628
U163	Winter2016	week1	18007	7529.25	2.391606069661653	Winter2016	week3	15622	11493	1.3592621595753938
U165	Winter2016	week1	11858.25	21865	0.5423393551337754	Winter2016	week3	5770.5	19032.75	0.3031879260747921
U167	Winter2016	week1	8667	22077.75	0.39256717736182356	Winter2016	week3	7596.67	15269.33	0.4975116786394688
U168	Winter2016	week1	13716	16121.5	0.8507893186117917	Winter2016	week3	8731.67	20522	0.42547851086638727
U169	Winter2016	week1	18528	8052	2.301043219076006	Winter2016	week3	14070.67	9746.67	1.4436386991659715
U171	Winter2016	week1	11159.5	28432	0.39249788970174454	Winter2016	week3	4823.5	26605	0.18130050742341666
U172	Winter2016	week1	14362	16158.75	0.8888063742554344	Winter2016	week3	8399.67	15210.67	0.5522222229527036
U174	Winter2016	week1	11355.75	20514.5	0.5535474907991909	Winter2016	week3	6128.67	11568	0.5297951244813278
U177	Winter2016	week1	14372	18784.33	0.7651058089375559	Winter2016	week3	6266	24365	0.2571721731992612
U180	Winter2016	week1	11449	25670	0.44600701207635374	Winter2016	week3	6154.5	16005.5	0.38452406985098875
U181	Winter2016	week1	9777.67	17854	0.5476459056793995	Winter2016	week3	13524.5	16781	0.8059412430725225
U182	Winter2016	week1	11121.25	22140	0.5023148148148148	Winter2016	week3	11927.75	23602.5	0.5053596017371041
U184	Winter2016	week1	15660	16740	0.9354838709677419	Winter2016	week3	10601.67	14913.67	0.7108692897187614
U185	Winter2016	week1	18369	8664.5	2.1200300075018754	Winter2016	week3	20531	14471	1.4187685716260106
U186	Winter2016	week1	8802.67	20862.67	0.42193400940531584	Winter2016	week3	9457.75	21949.5	0.4308868083555434
U188	Winter2016	week1	15864.75	12490	1.2701961569255404	Winter2016	week3	15332.67	7563	2.0273264577548593
U190	Winter2016	week1	8460	18605.5	0.45470425411840587	Winter2016	week3	6467.75	22826	0.28335012704810303
U192	Winter2016	week1	10430.75	14013.5	0.744335819031648	Winter2016	week3	10098	11067.67	0.9123871600797638
